b03,b04,b05,KODE_KAB
laki-laki,41.0,SMA dan sederajat,Bantul
laki-laki,61.0,SD dan sederajat,Bantul
laki-laki,65.0,S1 dan sederajat,Sleman
laki-laki,70.0,SD dan sederajat,Bantul
laki-laki,55.0,S1 dan sederajat,Sleman
laki-laki,53.0,SMA dan sederajat,Gunung Kidul
laki-laki,67.0,Diploma dan sederajat, Kota Yogyakarta
laki-laki,58.0,S1 dan sederajat,Sleman
laki-laki,55.0,SMA dan sederajat,Bantul
laki-laki,66.0,SMA dan sederajat,Bantul
laki-laki,64.0,SMA dan sederajat,Bantul
laki-laki,53.0,S1 dan sederajat,Bantul
laki-laki,55.0,S2 dan sederajat,Bantul
laki-laki,57.0,S1 dan sederajat, Kota Yogyakarta
laki-laki,62.0,SMA dan sederajat,Gunung Kidul
laki-laki,27.0,S2 dan sederajat, Kota Yogyakarta
laki-laki,75.0,SMP dan sederajat,Gunung Kidul
laki-laki,49.0,SMA dan sederajat,Sleman
laki-laki,39.0,S2 dan sederajat, Kota Yogyakarta
laki-laki,69.0,S1 dan sederajat,Sleman
laki-laki,57.0,SMA dan sederajat,Sleman
perempuan,52.0,SMA dan sederajat,Sleman
laki-laki,56.0,SMA dan sederajat,Kulon Progo
laki-laki,60.0,Diploma dan sederajat,Sleman
laki-laki,52.0,SMA dan sederajat,Sleman
laki-laki,77.0,Diploma dan sederajat,Bantul
laki-laki,70.0,SMA dan sederajat,Sleman
perempuan,50.0,S1 dan sederajat, Kota Yogyakarta
laki-laki,70.0,S1 dan sederajat,Sleman
laki-laki,30.0,S1 dan sederajat,Kulon Progo
laki-laki,50.0,S1 dan sederajat,Sleman
laki-laki,43.0,S1 dan sederajat,Sleman
laki-laki,50.0,S1 dan sederajat,Sleman
laki-laki,58.0,S1 dan sederajat,Sleman
laki-laki,69.0,S1 dan sederajat,Sleman
perempuan,61.0,SMA dan sederajat,Sleman
laki-laki,57.0,SMA dan sederajat,Sleman
laki-laki,55.0,SMA dan sederajat,Sleman
laki-laki,58.0,Diploma dan sederajat,Sleman
laki-laki,42.0,Diploma dan sederajat,Sleman
perempuan,60.0,SMP dan sederajat,Bantul
laki-laki,36.0,S1 dan sederajat,Sleman
laki-laki,60.0,SD dan sederajat,Gunung Kidul
laki-laki,39.0,SMA dan sederajat,Gunung Kidul
laki-laki,57.0,SMP dan sederajat,Kulon Progo
laki-laki,54.0,SD dan sederajat,Gunung Kidul
laki-laki,45.0,S1 dan sederajat, Kota Yogyakarta
